City ID,City,Country,Act Lat,Act Lon,Temperature (F),Humidity,Cloudiness,Wind Speed
3430863,mar del plata,ar,-38.0,-57.56,59.41,62,20,11.41
4278471,russell,nz,38.9,-98.86,80.89,14,1,18.34
6301965,howard springs,au,-12.5,131.05,80.33,83,90,4.7
1506268,gornopravdinsk,ru,60.05,69.9,24.35,97,100,13.35
3395473,papara,pf,-3.98,-38.73,86.86,62,20,12.75
5924351,clyde river,ca,70.47,-68.59,14.0,66,5,2.24
962367,richards bay,za,-28.78,32.04,68.56,73,60,5.17
5859699,college,us,64.86,-147.8,11.21,52,75,1.1
587450,juba,sd,57.82,26.93,47.82,57,28,8.05
3161456,bjerkvik,no,68.56,17.52,34.52,74,97,50.55
3193044,podgorica,me,42.44,19.26,58.06,25,8,1.12
523662,nadvoitsy,ru,63.87,34.32,38.21,79,98,11.41
5637146,anaconda,us,46.13,-112.94,48.2,26,1,5.82
1794971,shitanjing,cn,39.23,106.34,53.01,8,36,1.99
933995,souillac,mu,-20.52,57.52,78.48,78,40,10.29
1057095,sakaraha,mg,-22.9,44.53,70.27,62,8,6.82
370481,marawi,sd,18.48,31.82,93.31,13,69,16.84
1633419,padang,id,-0.95,100.35,78.46,75,100,2.84
1848976,wajima,jp,37.4,136.9,44.89,69,85,11.63
1640902,kawalu,id,-7.38,108.21,74.46,81,100,1.77
2108502,honiara,sb,-9.43,159.95,75.2,94,20,3.09
3872395,san antonio,cl,-33.59,-71.62,58.39,87,90,9.17
3440777,rocha,uy,-34.48,-54.33,61.79,61,84,13.6
546105,nikolskoye,ru,59.7,30.79,43.36,33,40,2.24
5864145,homer,us,59.64,-151.55,26.78,42,1,3.36
964420,port elizabeth,za,-33.92,25.57,60.8,87,97,5.82
1282256,hithadhoo,mv,-0.6,73.08,85.57,67,79,8.61
118063,sabzevar,ir,36.21,57.68,37.02,52,83,6.93
3424934,saint-pierre,pm,46.77,-56.17,33.4,64,75,18.34
3423146,ilulissat,gl,69.22,-51.1,23.0,49,20,3.36
2012593,zeya,ru,53.75,127.27,24.93,92,0,4.34
3996737,maneadero,mx,31.72,-116.57,54.36,84,73,8.01
3995236,mulege,mx,26.88,-111.98,73.0,45,100,3.91
286621,salalah,om,17.02,54.09,80.6,83,0,4.7
2428228,massakory,td,13.0,15.73,94.42,9,30,10.87
5367788,lompoc,us,34.64,-120.46,52.74,76,1,3.36
2181625,te anau,nz,-45.42,167.72,43.93,73,100,3.42
1067565,beloha,mg,-25.17,45.05,73.0,84,34,7.05
2168305,dubbo,au,-32.25,148.62,60.8,77,100,14.99
211647,lodja,cd,-3.48,23.43,71.69,73,100,2.15
2128206,shibetsu,jp,43.66,145.13,31.08,96,24,5.23
5654391,glendive,us,47.11,-104.71,42.12,33,75,23.04
7671223,kloulklubed,pw,7.04,134.26,81.72,77,12,9.95
3985710,cabo san lucas,mx,22.89,-109.91,77.22,44,90,4.7
5282297,bethel,us,41.37,-73.41,53.28,81,90,3.36
2460954,araouane,ml,18.9,-3.53,90.99,8,0,6.82
2026861,berdigestyakh,ru,62.1,126.7,29.97,95,99,5.39
1263997,mamallapuram,in,12.63,80.17,85.48,79,40,5.82
3389822,salinopolis,br,-0.61,-47.36,79.84,87,100,13.22
